,United States,Alabama,Alaska *,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii *,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,New England,Mideast,Great Lakes,Plains,Southeast,Southwest,Rocky Mountain,Far West,Year
2017:Q1,51166.0,40039.0,56270.0,41929.0,41247.0,59212.0,54226.0,71088.0,49860.0,78410.0,47122.0,44032.0,52627.0,41494.0,53150.0,44735.0,47342.0,48493.0,40546.0,43466.0,45965.0,59833.0,67116.0,45870.0,54706.0,36198.0,45273.0,44864.0,50117.0,46320.0,57589.0,63917.0,39224.0,64281.0,43729.0,52512.0,46136.0,42784.0,47672.0,52380.0,51333.0,41654.0,49483.0,44622.0,47044.0,43402.0,51589.0,54686.0,57654.0,38203.0,48623.0,55202.0,63518.0,60477.0,48104.0,49352.0,44792.0,45370.0,48869.0,57269.0,2017
2017:Q2,51535.0,40240.0,56425.0,42160.0,41398.0,59701.0,54895.0,71901.0,49869.0,78413.0,47605.0,44242.0,52765.0,41933.0,53555.0,44975.0,47369.0,48629.0,40770.0,43593.0,46159.0,60134.0,67742.0,45983.0,54654.0,36128.0,45528.0,45230.0,50612.0,46642.0,57870.0,64535.0,39277.0,64897.0,43952.0,52921.0,46349.0,43467.0,48195.0,52705.0,51978.0,41916.0,49529.0,44732.0,47599.0,43615.0,51640.0,54947.0,58102.0,38292.0,48945.0,56068.0,64095.0,60958.0,48363.0,49496.0,45055.0,45858.0,49365.0,57730.0,2017
2017:Q3,51988.0,40479.0,56957.0,42710.0,41414.0,60223.0,55616.0,72290.0,50565.0,79192.0,47984.0,44531.0,53266.0,42139.0,54137.0,45264.0,47222.0,48813.0,41068.0,44005.0,46751.0,60571.0,68550.0,46220.0,54665.0,36391.0,45781.0,45345.0,50630.0,47186.0,58905.0,65168.0,39563.0,65704.0,44217.0,52336.0,46745.0,43868.0,48382.0,53350.0,52807.0,42119.0,49425.0,44892.0,48192.0,44147.0,52052.0,55423.0,58698.0,38777.0,49568.0,56500.0,64788.0,61642.0,48787.0,49554.0,45368.0,46412.0,49892.0,58234.0,2017
2017:Q4,52822.0,41079.0,57527.0,43128.0,42011.0,61474.0,56542.0,73497.0,51009.0,79959.0,48747.0,45317.0,53888.0,42787.0,54913.0,45888.0,47872.0,49504.0,41599.0,44684.0,47384.0,61483.0,69482.0,46944.0,55632.0,36791.0,46385.0,45847.0,51271.0,47398.0,59209.0,66014.0,39976.0,67657.0,44801.0,52749.0,47356.0,44369.0,49271.0,54089.0,53339.0,42607.0,49796.0,45537.0,48850.0,44838.0,52567.0,56145.0,59785.0,39261.0,49989.0,57516.0,65656.0,62900.0,49443.0,50260.0,46033.0,47003.0,50682.0,59353.0,2017
2018:Q1,53719.0,41724.0,58537.0,43889.0,42651.0,62419.0,57544.0,75294.0,52048.0,81263.0,49552.0,45841.0,54684.0,43469.0,56034.0,46695.0,49238.0,50731.0,41985.0,45381.0,48218.0,62551.0,70860.0,47914.0,56522.0,37316.0,47047.0,46934.0,52836.0,48668.0,60767.0,67387.0,40845.0,67907.0,45484.0,54293.0,48089.0,45649.0,50107.0,55290.0,54358.0,43215.0,51464.0,46245.0,49769.0,45876.0,53399.0,57077.0,61196.0,39881.0,51035.0,59195.0,67054.0,63733.0,50379.0,51319.0,46727.0,47928.0,51682.0,60363.0,2018
2018:Q2,54206.0,42044.0,58944.0,44053.0,43021.0,63337.0,58143.0,75955.0,52347.0,81497.0,49801.0,46213.0,55157.0,43732.0,56579.0,46880.0,49804.0,51230.0,42392.0,46129.0,48752.0,63132.0,71391.0,48171.0,57279.0,37729.0,47727.0,47367.0,52974.0,48802.0,61006.0,67943.0,41298.0,68586.0,45968.0,55074.0,48453.0,45970.0,50540.0,55840.0,54748.0,43468.0,51681.0,46638.0,50148.0,46111.0,54001.0,57476.0,61668.0,40505.0,51279.0,59910.0,67582.0,64328.0,50726.0,51915.0,47108.0,48269.0,52126.0,61122.0,2018
2018:Q3,54721.0,42371.0,59891.0,44549.0,43324.0,63869.0,58830.0,77146.0,52766.0,82557.0,50327.0,46847.0,55654.0,43913.0,57151.0,47270.0,50109.0,51619.0,42564.0,46403.0,49230.0,63697.0,71994.0,48648.0,57821.0,37904.0,47846.0,47604.0,53067.0,49320.0,61659.0,68676.0,41947.0,69128.0,46245.0,55526.0,49020.0,46397.0,51134.0,56639.0,54699.0,43856.0,51991.0,47273.0,50592.0,46483.0,54440.0,58104.0,62471.0,41399.0,51763.0,60803.0,68267.0,64978.0,51237.0,52229.0,47573.0,48731.0,52626.0,61695.0,2018
2018:Q4,55115.0,42794.0,60281.0,44804.0,43915.0,64574.0,59276.0,77422.0,52831.0,82679.0,50570.0,47014.0,56139.0,44460.0,57572.0,47739.0,51324.0,52285.0,42872.0,47037.0,49399.0,64005.0,72479.0,48931.0,58414.0,38369.0,48340.0,48221.0,54147.0,49867.0,61727.0,68913.0,42317.0,69028.0,46742.0,56878.0,49370.0,46896.0,51565.0,57115.0,55576.0,44235.0,53699.0,47422.0,50880.0,46792.0,54858.0,58515.0,62733.0,41695.0,52274.0,61515.0,68659.0,65146.0,51626.0,53014.0,47915.0,49039.0,53073.0,62299.0,2018
2019:Q1,55869.0,43376.0,60997.0,45517.0,44079.0,65493.0,60401.0,78658.0,53613.0,83440.0,51224.0,47627.0,56853.0,44845.0,58187.0,48194.0,51718.0,52515.0,43398.0,47674.0,50415.0,64829.0,74033.0,49449.0,58716.0,38843.0,48929.0,48210.0,53809.0,50172.0,63538.0,69976.0,43072.0,70374.0,47255.0,56410.0,49958.0,47744.0,52198.0,57982.0,56341.0,44917.0,52677.0,48193.0,51702.0,47603.0,56012.0,59173.0,63717.0,41931.0,52834.0,62762.0,70039.0,66229.0,52182.0,53264.0,48516.0,49842.0,53914.0,63161.0,2019
2019:Q2,56398.0,43738.0,61704.0,45943.0,44710.0,66497.0,60944.0,79047.0,53863.0,83952.0,51647.0,48093.0,57075.0,45424.0,58395.0,48529.0,51847.0,52972.0,43634.0,47840.0,50849.0,65414.0,74398.0,49999.0,59197.0,39006.0,49272.0,48555.0,54089.0,50509.0,63614.0,70531.0,43631.0,71406.0,47746.0,56485.0,50245.0,47786.0,52621.0,58626.0,56767.0,45151.0,52666.0,48633.0,52125.0,48160.0,56089.0,59710.0,64608.0,42193.0,53525.0,63247.0,70381.0,66993.0,52558.0,53599.0,48924.0,50237.0,54440.0,64043.0,2019
